date,india,germany,china,U.S.A
1/1/70,1780520,190230,3746000,4344000
1/1/71,1778170,189520,3792500,4333000
1/1/72,1779460,189490,3838700,4323000
1/1/73,1787510,188970,3894800,4312000
1/1/74,1792820,188210,3961000,4301580
1/1/75,1796940,187920,4007100,4301580
1/1/76,1796490,187580,4066600,4301580
1/1/77,1795910,187090,4126000,4303310
1/1/78,1805920,186590,4184700,4281630
1/1/79,1805800,185940,4231900,4281630
1/1/80,1802720,185190,4276040,4281630
1/1/81,1804010,184610,4329090,4281630
1/1/82,1807710,183960,4425180,4313990
1/1/83,1804620,183300,4529280,4313990
1/1/84,1814520,182840,4645370,4313990
1/1/85,1813400,182440,4763470,4313990
1/1/86,1811920,182080,4824560,4313990
1/1/87,1815430,181250,4877660,4269480
1/1/88,1810910,180970,4933750,4269480
1/1/89,1815010,180560,4994850,4269480
1/1/90,1814130,180320,5056940,4269480
1/1/91,1815860,171360,5113790,4269480
1/1/92,1813050,169510,5143140,4254290
1/1/93,1813820,171620,5182230,4229480
1/1/94,1812910,173080,5228330,4211390
1/1/95,1809450,173430,5228330,4201390
1/1/96,1805890,173370,5228720,4163060
1/1/97,1809810,173270,5233330,4148850
1/1/98,1808740,173730,5236830,4145880
1/1/99,1810210,171520,5231330,4138870
1/1/00,1809750,170680,5220030,4143990
1/1/01,1804870,170340,5199150,4149440
1/1/02,1805600,169670,5185330,4130640
1/1/03,1802490,170010,5161330,4139250
1/1/04,1803750,170130,5164330,4115210
1/1/05,1801260,170310,5174330,4117840
1/1/06,1799060,169460,5141330,4092148
1/1/07,1796200,169500,5145680,4128576
1/1/08,1797570,169210,5145490,4133126
1/1/09,1800680,168860,5145530,4099607
1/1/10,1795730,167000,5145500,4084262
1/1/11,1796700,167190,5145530,4046693
1/1/12,1796420,166640,5145530,4087065
1/1/13,1802800,166970,5145530,4054370
