country,date,land
India,1/1/60,
India,1/1/61,1749520
India,1/1/62,1764820
India,1/1/63,1761540
India,1/1/64,1767120
India,1/1/65,1771770
India,1/1/66,1775300
India,1/1/67,1778070
India,1/1/68,1783640
India,1/1/69,1777920
India,1/1/70,1780520
India,1/1/71,1778170
India,1/1/72,1779460
India,1/1/73,1787510
India,1/1/74,1792820
India,1/1/75,1796940
India,1/1/76,1796490
India,1/1/77,1795910
India,1/1/78,1805920
India,1/1/79,1805800
India,1/1/80,1802720
India,1/1/81,1804010
India,1/1/82,1807710
India,1/1/83,1804620
India,1/1/84,1814520
India,1/1/85,1813400
India,1/1/86,1811920
India,1/1/87,1815430
India,1/1/88,1810910
India,1/1/89,1815010
India,1/1/90,1814130
India,1/1/91,1815860
India,1/1/92,1813050
India,1/1/93,1813820
India,1/1/94,1812910
India,1/1/95,1809450
India,1/1/96,1805890
India,1/1/97,1809810
India,1/1/98,1808740
India,1/1/99,1810210
India,1/1/00,1809750
India,1/1/01,1804870
India,1/1/02,1805600
India,1/1/03,1802490
India,1/1/04,1803750
India,1/1/05,1801260
India,1/1/06,1799060
India,1/1/07,1796200
India,1/1/08,1797570
India,1/1/09,1800680
India,1/1/10,1795730
India,1/1/11,1796700
India,1/1/12,1796420
India,1/1/13,1802800
India,1/1/14,
India,1/1/15,
Bangladesh,1/1/60,
Bangladesh,1/1/61,94800
Bangladesh,1/1/62,94770
Bangladesh,1/1/63,94800
Bangladesh,1/1/64,95200
Bangladesh,1/1/65,96370
Bangladesh,1/1/66,96500
Bangladesh,1/1/67,96950
Bangladesh,1/1/68,96690
Bangladesh,1/1/69,96750
Bangladesh,1/1/70,96970
Bangladesh,1/1/71,96950
Bangladesh,1/1/72,99910
Bangladesh,1/1/73,99890
Bangladesh,1/1/74,99890
Bangladesh,1/1/75,100040
Bangladesh,1/1/76,99980
Bangladesh,1/1/77,99910
Bangladesh,1/1/78,99870
Bangladesh,1/1/79,99830
Bangladesh,1/1/80,99870
Bangladesh,1/1/81,99810
Bangladesh,1/1/82,99780
Bangladesh,1/1/83,99640
Bangladesh,1/1/84,100600
Bangladesh,1/1/85,100270
Bangladesh,1/1/86,100410
Bangladesh,1/1/87,101150
Bangladesh,1/1/88,104270
Bangladesh,1/1/89,104430
Bangladesh,1/1/90,103860
Bangladesh,1/1/91,103200
Bangladesh,1/1/92,95490
Bangladesh,1/1/93,94460
Bangladesh,1/1/94,93580
Bangladesh,1/1/95,93740
Bangladesh,1/1/96,93270
Bangladesh,1/1/97,93650
Bangladesh,1/1/98,94340
Bangladesh,1/1/99,94860
Bangladesh,1/1/00,94000
Bangladesh,1/1/01,94030
Bangladesh,1/1/02,93530
Bangladesh,1/1/03,93280
Bangladesh,1/1/04,93230
Bangladesh,1/1/05,93110
Bangladesh,1/1/06,92800
Bangladesh,1/1/07,92660
Bangladesh,1/1/08,92530
Bangladesh,1/1/09,92460
Bangladesh,1/1/10,92410
Bangladesh,1/1/11,91280
Bangladesh,1/1/12,91200
Bangladesh,1/1/13,91080
Bangladesh,1/1/14,
Bangladesh,1/1/15,
China,1/1/60,
China,1/1/61,3423500
China,1/1/62,3451000
China,1/1/63,3479500
China,1/1/64,3508000
China,1/1/65,3546000
China,1/1/66,3582000
China,1/1/67,3618000
China,1/1/68,3654000
China,1/1/69,3700000
China,1/1/70,3746000
China,1/1/71,3792500
China,1/1/72,3838700
China,1/1/73,3894800
China,1/1/74,3961000
China,1/1/75,4007100
China,1/1/76,4066600
China,1/1/77,4126000
China,1/1/78,4184700
China,1/1/79,4231900
China,1/1/80,4276040
China,1/1/81,4329090
China,1/1/82,4425180
China,1/1/83,4529280
China,1/1/84,4645370
