date,Brazil,Russian Federation,India,China,South Africa,United States,Nepal
1/1/70,84.90769666,51.35907166,79.10754734,79.64830543,83.52892884,61.13578553,78.01607361
1/1/71,83.67773134,50.16977984,78.9240782,79.99752645,83.57069402,59.85329716,78.30141266
1/1/72,82.58914327,49.22166809,78.66040262,80.18820948,83.39925826,58.65429972,78.45864977
1/1/73,81.51575003,48.45572709,78.31115122,80.20875024,83.07586448,57.49450823,78.54989467
1/1/74,80.28320431,47.7876914,77.82483706,79.86446672,82.65543221,56.31844629,78.59539071
1/1/75,78.85803917,47.18749807,77.18933974,79.0043839,82.15448804,55.11402144,78.60093495
1/1/76,77.72603447,47.20604405,77.03775967,77.53742245,82.13752745,54.40674776,79.25206779
1/1/77,76.4414245,47.0536817,76.66371823,75.72990897,81.94877782,53.62473859,79.7994959
1/1/78,75.09634591,46.84273024,76.14816424,73.58374479,81.6207848,52.85061048,80.24950516
1/1/79,73.82152247,46.71678736,75.59406229,71.17021601,81.18754922,52.18060186,80.58477065
1/1/80,72.68104582,46.73035404,75.05847343,68.60331939,80.66925458,51.65421629,80.79637156
1/1/81,72.00285186,46.72997176,74.93122044,65.7323836,80.1904015,51.24232972,81.62101379
1/1/82,71.31455282,46.92202615,74.78259636,63.0632086,79.66482017,50.93069028,82.21479364
1/1/83,70.63619222,47.25461785,74.5805307,60.55729333,79.04396774,50.73649645,82.63183015
1/1/84,69.93958904,47.59504552,74.25894835,58.24714137,78.25853546,50.64411226,82.93037879
1/1/85,69.18550742,47.87526625,73.7912027,56.22462074,77.28849158,50.63062186,83.13503051
1/1/86,68.5960194,48.39929827,73.74530262,54.93695874,76.72621767,50.87552988,83.87701726
1/1/87,67.85438631,48.79384168,73.43232563,53.90318574,75.93071489,51.12696842,84.44325485
1/1/88,66.99062974,49.10089693,72.93337529,53.11996917,74.96800843,51.37575805,84.84544168
1/1/89,66.03335046,49.40184395,72.34587387,52.49895317,73.91360186,51.60453709,85.08816911
1/1/90,64.98983314,49.71780306,71.71126199,51.93867823,72.79683059,51.79470699,85.17520453
1/1/91,63.84153348,50.32783067,71.29269885,52.15567483,71.30119868,52.11565627,85.05996479
1/1/92,62.68181521,50.74562507,70.79504486,51.89086579,69.71685517,52.36824381,84.70095941
1/1/93,61.47166362,50.93272757,70.20046067,51.40487274,68.09461292,52.5072465,84.14343157
1/1/94,60.18791084,50.83517596,69.47658269,50.99376986,66.50676172,52.48677767,83.43333776
1/1/95,58.85292406,50.41514478,68.62326078,50.73181949,65.01881265,52.30076665,82.61240624
1/1/96,57.61836897,49.29961761,67.93631171,49.72742004,64.47944079,52.17893225,82.50035725
1/1/97,56.42564524,48.11636953,67.13467951,49.14465114,64.20118647,51.86062672,82.31812146
1/1/98,55.28272352,46.86058697,66.24103756,48.64407972,64.0649077,51.42645024,82.05924879
1/1/99,54.20710683,45.55632497,65.2900491,47.79040826,63.88269426,50.97568224,81.68071147
1/1/00,53.2140454,44.27191561,64.30950535,46.44688911,63.52476373,50.54971679,81.13781627
1/1/01,52.58393455,43.65824768,63.57526434,44.99858314,63.10983221,50.10583957,80.77212899
1/1/02,51.92733049,43.04089192,62.77156638,43.27172081,62.25812826,49.76315308,80.40515825
1/1/03,51.28522878,42.38900764,61.92190285,41.39701564,61.14051862,49.45766178,80.02652378
1/1/04,50.67963738,41.66118944,61.04763156,39.62087892,60.03220255,49.1076585,79.63669774
1/1/05,50.09619518,40.83026161,60.16142739,38.08612021,59.09088099,48.69684723,79.19805596
1/1/06,49.53193368,40.31180338,59.44279972,37.04992107,58.25049411,48.7171989,77.87523371
1/1/07,48.93349915,39.66382511,58.69540246,36.07978767,57.73653921,48.64902105,76.64650176
1/1/08,48.32346739,39.0926642,57.92277683,35.28583298,57.38898042,48.57000439,75.46810332
1/1/09,47.73305203,38.79549209,57.11481878,34.75640344,56.92736602,48.58461328,74.22709139
1/1/10,47.18366857,38.84635313,56.26853204,34.51875871,56.22666103,48.73401318,72.84302584
1/1/11,46.50425901,39.24648337,55.5326692,34.49331161,55.70830719,48.91221752,70.5990196
1/1/12,45.9978989,39.9855322,54.73407544,34.73728649,54.80233869,49.21262845,68.20975327
1/1/13,45.57853146,40.95186526,53.91608486,35.21478298,53.72849843,49.67124986,65.83081563
1/1/14,45.14288857,42.0088763,53.14193951,35.84650547,52.79813346,50.2563887,63.67516653
